,Sentence,Subject,Relation,Object
1706,"Yes, my family served House Stark for centuries. We wept when we heard of your father’s death. When my brother was lord of this castle, he answered Robb’s call and hailed him King in the North. Robett Glover said to Sansa Stark.",Robb,has,call
1707,"Yes, my family served House Stark for centuries. We wept when we heard of your father’s death. When my brother was lord of this castle, he answered Robb’s call and hailed him King in the North. Robett Glover said to Sansa Stark.",he,hailed,him King in North
1708,"Yes, my family served House Stark for centuries. We wept when we heard of your father’s death. When my brother was lord of this castle, he answered Robb’s call and hailed him King in the North. Robett Glover said to Sansa Stark.",my brother,was lord of,castle
1709,"Yes, my family served House Stark for centuries. We wept when we heard of your father’s death. When my brother was lord of this castle, he answered Robb’s call and hailed him King in the North. Robett Glover said to Sansa Stark.",Robett Glover,said to,Sansa Stark
1710,"Well met, my lords. His Grace King Joffrey welcomes you in his name. My lord father, the King's Hand, sends his greetings as well. I am Tyrion Lannister of Casterly Rock, Master of Coin. Forgive me. I don't see Prince Doran in your company. Tyrion Lannister said to Dornish Lord.",Well,met,my lords
1711,"Well met, my lords. His Grace King Joffrey welcomes you in his name. My lord father, the King's Hand, sends his greetings as well. I am Tyrion Lannister of Casterly Rock, Master of Coin. Forgive me. I don't see Prince Doran in your company. Tyrion Lannister said to Dornish Lord.",His Grace King Joffrey,welcomes,you
1712,"Well met, my lords. His Grace King Joffrey welcomes you in his name. My lord father, the King's Hand, sends his greetings as well. I am Tyrion Lannister of Casterly Rock, Master of Coin. Forgive me. I don't see Prince Doran in your company. Tyrion Lannister said to Dornish Lord.",My lord father,sends,his greetings
1713,"Well met, my lords. His Grace King Joffrey welcomes you in his name. My lord father, the King's Hand, sends his greetings as well. I am Tyrion Lannister of Casterly Rock, Master of Coin. Forgive me. I don't see Prince Doran in your company. Tyrion Lannister said to Dornish Lord.",Casterly Rock,Master of,Coin
1714,"Well met, my lords. His Grace King Joffrey welcomes you in his name. My lord father, the King's Hand, sends his greetings as well. I am Tyrion Lannister of Casterly Rock, Master of Coin. Forgive me. I don't see Prince Doran in your company. Tyrion Lannister said to Dornish Lord.",I,am,Tyrion Lannister of Casterly Rock
1715,"Well met, my lords. His Grace King Joffrey welcomes you in his name. My lord father, the King's Hand, sends his greetings as well. I am Tyrion Lannister of Casterly Rock, Master of Coin. Forgive me. I don't see Prince Doran in your company. Tyrion Lannister said to Dornish Lord.",I,am,Tyrion Lannister
1716,"Well met, my lords. His Grace King Joffrey welcomes you in his name. My lord father, the King's Hand, sends his greetings as well. I am Tyrion Lannister of Casterly Rock, Master of Coin. Forgive me. I don't see Prince Doran in your company. Tyrion Lannister said to Dornish Lord.",Tyrion Lannister,said to,Dornish Lord
1717,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",I,was in,capital
1718,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",My sister,loved,him
1719,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",She,bore,his children
1720,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",them,Swaddled,them
1721,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",noble Rhaegar Targaryen,left,her
1722,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",Rhaegar Targaryen,left,her
1723,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",beautiful noble Rhaegar Targaryen,left,her
1724,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",Oberyn,said to,Tyrion Lannister
1725,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",father,has,army
1726,"The last time I was in the capital was many years ago. Another wedding. My sister Elia and Rhaegar Targaryen, the Last Dragon. My sister loved him. She bore his children. Swaddled them, rocked them, fed them at her own breast. Elia wouldn't let the wet nurse touch them. And beautiful, noble Rhaegar Targaryen left her for another woman. That started a war and the war ended right here when your father's army took the city... Oberyn said to Tyrion Lannister.",your father 's army,took,city
1727,"If the Mountain killed my sister, your father gave the order. Tell your father I'm here. And tell him the Lannisters aren't the only ones who pay their debts. Oberyn said to Tyrion Lannister.",Mountain,killed,my sister
1728,"If the Mountain killed my sister, your father gave the order. Tell your father I'm here. And tell him the Lannisters aren't the only ones who pay their debts. Oberyn said to Tyrion Lannister.",your father,gave,order
1729,"If the Mountain killed my sister, your father gave the order. Tell your father I'm here. And tell him the Lannisters aren't the only ones who pay their debts. Oberyn said to Tyrion Lannister.",Oberyn,said to,Tyrion Lannister
1730,My nephew the king wants to murder me. My wife hates me because my father murdered her family. Oberyn Martell wants to murder everyone whose last name is Lannister. Tyrion Lannister said to Shae.,My nephew,wants to,murder
1731,My nephew the king wants to murder me. My wife hates me because my father murdered her family. Oberyn Martell wants to murder everyone whose last name is Lannister. Tyrion Lannister said to Shae.,My wife,hates,me
1732,My nephew the king wants to murder me. My wife hates me because my father murdered her family. Oberyn Martell wants to murder everyone whose last name is Lannister. Tyrion Lannister said to Shae.,name,is,Lannister
1733,My nephew the king wants to murder me. My wife hates me because my father murdered her family. Oberyn Martell wants to murder everyone whose last name is Lannister. Tyrion Lannister said to Shae.,last name,is,Lannister
1734,My nephew the king wants to murder me. My wife hates me because my father murdered her family. Oberyn Martell wants to murder everyone whose last name is Lannister. Tyrion Lannister said to Shae.,Oberyn Martell,wants to,murder everyone
1735,My nephew the king wants to murder me. My wife hates me because my father murdered her family. Oberyn Martell wants to murder everyone whose last name is Lannister. Tyrion Lannister said to Shae.,Tyrion Lannister,said to,Shae
1736,Father disowned me today. Jaime Lannister said to Cersei.,Father,disowned,me
1737,Father disowned me today. Jaime Lannister said to Cersei.,Jaime Lannister,said to,Cersei
1738,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",he,was in,courtyard
1739,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",he,was in,courtyard at Winterfell
1740,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",I,saw,him
1741,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",you,'ll,'ll all in black
1742,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",you,'ll,'ll all
1743,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",I,was jealous of,Robb
1744,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",I,was,jealous
1745,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",way,looked at,him
1746,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",He,was,better
1747,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",He,was better than,me
1748,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",He,was better than,me at everything
1749,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",Gods,loved,him
1750,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",I,hate,him
1751,"Last time I saw him, he was in the courtyard at Winterfell. `` He said, `` Next time I see you, you'll be all in black.''I was jealous of Robb my whole life. ( Winces ) The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could. Jon said to Sam.",Jon,said to,Sam
1752,"Well, Arya Stark hasn't been seen since her father was killed. Where do you think she is? My money's on dead. There's a certain safety in death, wouldn't you say? And Sansa Stark is now Sansa Lannister. Bit of a complication. Jaime Lannister said to Brienne.",certain safety,is in,death
1753,"Well, Arya Stark hasn't been seen since her father was killed. Where do you think she is? My money's on dead. There's a certain safety in death, wouldn't you say? And Sansa Stark is now Sansa Lannister. Bit of a complication. Jaime Lannister said to Brienne.",Sansa Stark,is,now Sansa Lannister
1754,"Well, Arya Stark hasn't been seen since her father was killed. Where do you think she is? My money's on dead. There's a certain safety in death, wouldn't you say? And Sansa Stark is now Sansa Lannister. Bit of a complication. Jaime Lannister said to Brienne.",Sansa Stark,is,Sansa Lannister
1755,"Well, Arya Stark hasn't been seen since her father was killed. Where do you think she is? My money's on dead. There's a certain safety in death, wouldn't you say? And Sansa Stark is now Sansa Lannister. Bit of a complication. Jaime Lannister said to Brienne.",Jaime Lannister,said to,Brienne
1756,"I know. I know. But you must admit it looks suspicious. The king who executed your father, who tormented you for years, and you fled the scene of his murder. Littlefinger said to Sansa Stark.",it,looks,suspicious
1757,"I know. I know. But you must admit it looks suspicious. The king who executed your father, who tormented you for years, and you fled the scene of his murder. Littlefinger said to Sansa Stark.",king,fled,scene of his murder
1758,"I know. I know. But you must admit it looks suspicious. The king who executed your father, who tormented you for years, and you fled the scene of his murder. Littlefinger said to Sansa Stark.",king,fled,scene
1759,"I know. I know. But you must admit it looks suspicious. The king who executed your father, who tormented you for years, and you fled the scene of his murder. Littlefinger said to Sansa Stark.",you,tormented,you
1760,"I know. I know. But you must admit it looks suspicious. The king who executed your father, who tormented you for years, and you fled the scene of his murder. Littlefinger said to Sansa Stark.",Littlefinger,said to,Sansa Stark
1761,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,They,took,me
1762,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,man,suffered to,father
1763,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,man,'d married,my children
1764,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,I,'d married,my children
1765,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,doughy lump,sat next at,dinners
1766,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,doughy lump,sat next at,endless dinners
1767,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great doughy lump,sat next at,dinners
1768,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,lump,sat at,dinners
1769,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great lump,sat at,dinners
1770,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great lump,sat next at,endless dinners
1771,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,lump,sat next at,dinners
1772,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,lump,sat at,endless dinners
1773,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great lump,sat at,endless dinners
1774,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great doughy lump,sat next at,endless dinners
1775,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,doughy lump,sat at,endless dinners
1776,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great lump,sat next at,dinners
1777,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,lump,sat next at,endless dinners
1778,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,doughy lump,sat at,dinners
1779,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great doughy lump,sat at,endless dinners
1780,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,great doughy lump,sat at,dinners
1781,They took me to the Great Hall and there he was. The man I'd married and suffered to father my children. A great doughy lump I'd sat next to at endless dinners and tedious gatherings. There he was... lying on a table. Olenna said to Margaery.,Olenna,said to,Margaery
1782,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,We,were watering,horses
1783,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,We,were just watering,horses
1784,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,We,be on,'ll our way
1785,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,He,was wounded,fighting in war
1786,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,He,was wounded,fighting
1787,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,He,fighting in,war
1788,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,He,was,wounded
1789,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,my mother,is with,it
1790,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,Our cottage,burned down,gone
1791,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,he,was,gone
1792,We were just watering the horses. We'll be on our way. Forgive my father. He was wounded fighting in the war. Our cottage burned down while he was gone and my mother with it. Arya Stark said to Farmer Hamlet.,Arya Stark,said to,Farmer Hamlet
1793,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,We,ask,Father
1794,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,Father,judge,us
1795,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,we,may feed,ourselves
1796,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,We,ask,Warrior
1797,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,Warrior,give,courage
1798,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,Warrior,give,us
1799,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,Warrior,give,courage in days
1800,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,Warrior,give,courage in days of strife
1801,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,courage,is in,days of strife
1802,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,We,ask,Maiden
1803,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,Sally,has,virtue keep from clutches of depravity
1804,We ask the Father to judge us with mercy accepting our human frailty. We ask the Mother to bless our crops so we may feed ourselves and all who come to our door. We ask the Warrior to give us courage in these days of strife and turmoil. We ask the Maiden to protect Sally's virtue to keep her from the clutches of depravity. Farmer Hamlet said to Hound.,Farmer Hamlet,said to,Hound
1805,Father! Arya Stark said to Farmer Hamlet.,Arya Stark,said to,Farmer Hamlet
1806,My father hated that word. Gilly said to Sam.,My father,hated,word
1807,My father hated that word. Gilly said to Sam.,My father,hated that,word
1808,My father hated that word. Gilly said to Sam.,Gilly,said to,Sam
1809,"I don't know if you're safe here. They're my brothers, but some of them were thieves before they came here. Some of them were rapers. You saw what they did at your father's keep. Sam said to Gilly.",Sam,said to,Gilly
1810,"That happened once, weeks ago. You're your father's daughter, no mistake. Bloody relentless, the both of you. Davos said to Shireen.",father,'s daughter is,mistake
1811,"That happened once, weeks ago. You're your father's daughter, no mistake. Bloody relentless, the both of you. Davos said to Shireen.",father,has,daughter
1812,"That happened once, weeks ago. You're your father's daughter, no mistake. Bloody relentless, the both of you. Davos said to Shireen.",Davos,said to,Shireen
1813,My father says a criminal is a criminal. Shireen said to Davos.,Shireen,said to,Davos
1814,Your father lacks an appreciation of the finer points of bad behavior. So do the Braavosi. Davos said to Shireen.,Your father,lacks,appreciation of finer points of behavior
1815,Your father lacks an appreciation of the finer points of bad behavior. So do the Braavosi. Davos said to Shireen.,Your father,lacks,appreciation
1816,Your father lacks an appreciation of the finer points of bad behavior. So do the Braavosi. Davos said to Shireen.,Your father,lacks,appreciation of finer points of bad behavior
1817,Your father lacks an appreciation of the finer points of bad behavior. So do the Braavosi. Davos said to Shireen.,Your father,lacks,appreciation of finer points
1818,Your father lacks an appreciation of the finer points of bad behavior. So do the Braavosi. Davos said to Shireen.,Davos,said to,Shireen
1819,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",Almost,got beheaded by,First Sword of Braavos
1820,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",Almost,got beheaded by,Sword of Braavos
1821,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",Almost,got beheaded by,First Sword
1822,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",Almost,got,beheaded
1823,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",Almost,got beheaded by,Sword
1824,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",I,explain difference to,him
1825,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",I,explain,difference between pirates
1826,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",any,interested in,distinction
1827,"Of course. Almost got beheaded by a First Sword of Braavos. I tried to explain to him the difference between pirates and smugglers, but he didn't seem any more interested in the distinction than your father. I suppose if you work for the Iron Bank of Braavos and each one of your gold barges is worth half a kingdom, you tend not to be overly concerned with the kind of distinction... Davos said to Shireen.",any,more interested in,distinction than your father
